[2021-08-20 18:56:35,419] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:56:35,419] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:56:35,733] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:56:35,733] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:56:45,884] releaseProductInterface.py->releaseProductInfo line:20 [INFO]releaseProductInfo ---->start!
[2021-08-20 18:56:45,884] releaseProductInterface.py->releaseProductInfo line:20 [INFO]releaseProductInfo ---->start!
[2021-08-20 18:56:50,884] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 18:56:51,338] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 18:56:51,450] associateSystemSkuInterface.py->associateSystemSku line:51 [ERROR]associateSystemSku -->response Data is wrong!
[2021-08-20 18:57:10,435] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:57:10,435] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:57:10,764] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 18:57:10,764] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:01:09,911] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:01:09,911] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:01:10,215] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:01:10,215] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:02:12,464] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:02:12,464] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:02:12,800] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:02:12,800] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 19:02:17,037] releaseProductInterface.py->releaseProductInfo line:20 [INFO]releaseProductInfo ---->start!
[2021-08-20 19:02:17,037] releaseProductInterface.py->releaseProductInfo line:20 [INFO]releaseProductInfo ---->start!
[2021-08-20 19:02:27,829] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 19:02:28,314] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 19:02:28,444] associateSystemSkuInterface.py->associateSystemSku line:51 [ERROR]associateSystemSku -->response Data is wrong!
